url,title,segment,target,source
http://www.360doc.com/content/16/1010/15/28029384_597353740.shtml,听张脉贤先生说徽文化,"听 张 脉贤 先生 说 徽 文化
",1,cse
http://www.360doc.com/content/16/0617/22/7794234_568642540.shtml,没有徽州哪来安徽，哪来“徽文化”？,"没有 徽州 哪 来 安徽 ， 哪 来 “ 徽 文化 ” ？
",1,cse
http://www.360doc.com/content/16/0422/21/7839659_552956008.shtml,也说徽州｜徽文化：中国封建社会后期的典型标本,"也 说 徽州 ｜徽 文化 ： 中国 封建社会 后期 的 典型 标本
",1,cse
http://www.360doc.com/content/16/0520/14/4602914_560710378.shtml,徽文化之旅（皖南行之一）,"徽 文化 之 旅 （ 皖南 行 之一 ）
",1,cse
http://www.360doc.com/content/13/1130/15/137012_333421761.shtml,徽文化,"徽 文化
",1,cse
http://www.360doc.com/content/16/0329/23/150887_546398070.shtml,《徽州文化大辞典》首发徽文化首部百科全书式工具书问世,"《 徽州 文化 大 辞典 》 首发 徽 文化 首部 百科全书 式 工具书 问世
",1,cse
http://www.360doc.com/content/16/0625/19/2794318_570702823.shtml,徽文化的一朵奇葩------旌德,"徽 文化 的 一 朵 奇葩 ------ 旌德
",1,cse
http://www.360doc.com/content/16/0427/13/32759971_554221669.shtml,徽州文化,"徽州 文化
",1,cse
http://www.360doc.com/content/13/1130/15/137012_333423074.shtml,徽文化特点是什么？,"徽 文化 特点 是 什么 ？
",1,cse
http://www.360doc.com/content/15/0427/23/13477377_466473215.shtml,【日本家徽文化】详解,"【 日本 家徽 文化 】 详解
",1,cse
http://www.360doc.com/content/16/1015/00/5545997_598514013.shtml,古徽州文化旅游,"古 徽州 文化 旅游
",1,cse
http://www.360doc.com/content/15/0105/23/13276094_438495373.shtml,关于率先启动徽州文化生态保护实验区建设的建议案,"关于 率先 启动 徽州 文化 生态 保护 实验区 建设 的 建议案
",1,cse
http://www.360doc.com/content/13/1130/15/137012_333422706.shtml,“徽文化”2,"“ 徽 文化 ” 2
",1,cse
http://www.360doc.com/content/13/1130/15/137012_333420327.shtml,谈谈徽文化研究的现实意义,"谈谈 徽 文化 研究 的 现实 意义
",1,cse
http://www.360doc.com/content/13/1130/15/137012_333420737.shtml,徽州文化,"徽州 文化
",1,cse
http://www.360doc.com/content/16/0325/14/4958641_545143866.shtml,徽州文化博物馆,"徽州 文化 博物馆
",1,cse
http://www.360doc.com/content/15/0107/11/3133160_438838920.shtml,南京周园之八徽文化体验中心,"南京 周 园 之 八 徽 文化 体验 中心
",1,cse
http://www.360doc.com/content/15/0526/02/18960088_473267356.shtml,石与刀的碰撞：凝固徽文化符号的徽州石雕,"石 与 刀 的 碰撞 ： 凝固 徽 文化 符号 的 徽州 石雕
",1,cse
http://www.360doc.com/content/16/0808/18/11005683_581737708.shtml,国家最新AAAAA级景区——徽州文化园,"国家 最新 A A A A A 级 景区 —— 徽州 文化园
",1,cse
http://www.360doc.com/content/09/1029/11/385412_8030999.shtml,徽文化系列之——东南邹鲁”今何在,"徽 文化 系列 之—— 东南 邹鲁 ” 今 何在
",1,cse
http://www.360doc.com/content/14/1125/10/5896561_427879912.shtml,9家国家5A级旅游景区名单公示古徽州文化旅游区上榜,"9 家 国家 5 A 级 旅游 景区 名单 公示 古 徽州 文化 旅游区 上榜
",1,cse
http://www.360doc.com/content/16/0314/11/10580899_542068671.shtml,看徽州文化旅游区如何探索全域旅游,"看 徽州 文化 旅游区 如何 探索 全域 旅游
",1,cse
http://www.360doc.com/content/15/1006/13/14979747_503596273.shtml,论明清徽州文化的阶段性发展,"论 明清 徽州 文化 的 阶段性 发展
",1,cse
http://www.360doc.com/content/16/0803/14/150887_580483445.shtml,走进黄山徽州文化园,"走 进 黄山 徽州 文化园
",1,cse
http://www.360doc.com/content/12/0811/09/8413713_229534334.shtml,安徽徽文化慱物馆古代大型砚台展,"安徽 徽 文化 慱物 馆 古代 大型 砚台 展
",1,cse
http://www.360doc.com/content/14/1224/18/18892371_435477879.shtml,黄山古徽州文化旅游区1,"黄山 古 徽州 文化 旅游区 1
",1,cse
http://www.360doc.com/content/16/0126/17/10603700_530716596.shtml,古徽州文化旅游区创建国际特色旅游目的地，安徽省唯一！,"古 徽州 文化 旅游区 创建 国际 特色 旅游 目的地 ， 安徽省 唯一 ！
",1,cse
http://www.360doc.com/content/16/0401/10/5896561_547016841.shtml,《徽州文化大辞典》首发式举行（图）,"《 徽州 文化 大 辞典 》 首发式 举行 （ 图 ）
",1,cse
http://www.360doc.com/content/16/0511/09/7839659_558152465.shtml,南书房 | 徽文化之千年的徽墨,"南 书房 |徽 文化 之 千 年 的 徽墨
",1,cse
http://www.360doc.com/content/11/0903/11/7635148_145439397.shtml,走近徽州文化鲍家花园之古风今看（图）,"走近 徽州 文化 鲍 家 花园 之 古风 今 看 （ 图 ）
",1,cse
http://www.360doc.com/content/11/0607/11/2717084_122187303.shtml,《徽州文化生态保护区总体规划》正式实施-徽州-中安在线-全媒体,"《 徽州 文化 生态 保护区 总体 规划 》 正式 实施 - 徽州 - 中 安 在线 - 全 媒体
",1,cse
http://www.360doc.com/content/17/0110/14/14028072_621521573.shtml,徽州文化——风水尤重数徽人,"徽州 文化 —— 风水 尤 重 数 徽 人
",1,cse
http://www.360doc.com/content/11/0610/10/4160062_122859622.shtml,黄山区，徽文化的发源地之一（实地照片为证）,"黄山区 ， 徽 文化 的 发源地 之一 （ 实地 照片 为 证 ）
",1,cse
http://www.360doc.com/content/10/1229/16/1147381_82350078.shtml,让游客畅游“徽州文化之海”,"让 游客 畅游 “ 徽州 文化 之 海 ”
",1,cse
http://www.360doc.com/content/13/1130/14/137012_333414167.shtml,徽州文化的基本内容,"徽州 文化 的 基本 内容
",1,cse
http://www.360doc.com/content/16/1103/06/4616719_603534316.shtml,游安徽不得不玩的精品线路| 古徽州文化体验游,"游 安徽 不得不 玩 的 精品 线路 |古 徽州 文化 体验 游
",1,cse
http://www.360doc.com/content/15/1107/22/8780464_511544554.shtml,徽商和徽州文化的是如何起源的？,"徽商 和 徽州 文化 的 是 如何 起源 的 ？
",1,cse
http://www.360doc.com/content/16/0423/10/150887_553053768.shtml,黄山市什么时候找回自己的名字：徽州市？徽州这个地名为何会消失,"黄山市 什么 时候 找回 自己 的 名字 ： 徽州市 ？ 徽州 这个 地名 为何 会 消失
",1,cse
http://www.360doc.com/content/11/1229/22/278880_175944563.shtml,中国古代文化-徽州文化,"中国 古代 文化 - 徽州 文化
",1,cse
http://www.360doc.com/content/13/1130/15/137012_333419789.shtml,徽州文化的现存及其原因和价值,"徽州 文化 的 现存 及其 原因 和 价值
",1,cse
http://www.360doc.com/content/16/0511/20/13192177_558314603.shtml,徽州古城国家历史文化名城,"徽州 古城 国家 历史 文化 名城
",1,cse
http://www.360doc.com/content/14/1229/18/18892371_436679037.shtml,古徽州文化旅游区直达公交线路,"古 徽州 文化 旅游区 直达 公交 线路
",1,cse
http://www.360doc.com/content/16/0813/13/19083799_582924605.shtml,徽州文化导游词,"徽州 文化 导游 词
",1,cse
http://www.360doc.com/content/16/0628/18/7863900_571452335.shtml,解读︱历史的选择徽派建筑的历史渊源,"解读︱ 历史 的 选择 徽派 建筑 的 历史 渊源
",1,cse
http://www.360doc.com/content/10/0309/10/891507_18085273.shtml,徽州文化,"徽州 文化
",1,cse
http://www.360doc.com/content/14/1226/15/18892371_435938639.shtml,黄山古徽州文化旅游区9 ---宏村，换双布鞋散步,"黄山 古 徽州 文化 旅游区 9--- 宏村 ， 换 双 布鞋 散步
",1,cse
http://www.360doc.com/content/16/0511/17/14106735_558284700.shtml,为什么中国古代的贵族氏族没有设立家徽的传统？,"为什么 中国 古代 的 贵族 氏族 没有 设立 家徽 的 传统 ？
",1,cse
http://www.360doc.com/content/15/0113/18/18892371_440482967.shtml,徽州文化博物馆内容介绍,"徽州 文化 博物馆 内容 介绍
",1,cse
http://www.360doc.com/content/11/1007/20/700052_154128884.shtml,《徽州文化》解说词*第二十集纵横徽商（下）,"《 徽州 文化 》 解说词 * 第二十 集 纵横 徽商 （ 下 ）
",1,cse
http://www.360doc.com/content/16/0411/20/19083799_549801013.shtml,徽州文化概述,"徽州 文化 概述
",1,cse
http://www.360doc.com/content/16/1001/16/31537327_595109197.shtml,游徽州爬黄山的十条精品线路,"游 徽州 爬 黄山 的 十条 精品 线路
",1,cse
http://www.360doc.com/content/16/0727/12/10603700_578721868.shtml,葱哥谈建筑文学：徽派建筑和“马头”文化,"葱哥 谈 建筑 文学 ： 徽派 建筑 和 “ 马头 ” 文化
",1,cse
http://www.360doc.com/content/16/0727/09/13790267_578675656.shtml,华夏文明之徽州文化,"华夏 文明 之 徽州 文化
",1,cse
http://www.360doc.com/content/16/1012/11/5575132_597802057.shtml,婺源为徽州文化的发祥地,"婺源 为 徽州 文化 的 发祥地
",1,cse
http://www.360doc.com/content/11/0830/09/1835276_144420748.shtml,黟县徽州文化生态保护实验区建设之我见,"黟县 徽州 文化 生态 保护 实验区 建设 之 我 见
",1,cse
http://www.360doc.com/content/16/0331/07/5299136_546708635.shtml,领略徽州文化观明清古民居赏水上丹霞地貌专列9日游,"领略 徽州 文化观 明清 古 民居 赏 水上 丹霞 地貌 专列 9日 游
",1,cse
http://www.360doc.com/content/13/0507/08/8484361_283531367.shtml,视频: 【徽州文化】中华楷模,"视频 : 【 徽州 文化 】 中华 楷模
",1,cse
http://www.360doc.com/content/15/0430/07/253549_466966129.shtml,了解徽州文化nubia星空之约华东站开启,"了解 徽州 文化 n u b i a 星空 之 约 华东 站 开启
",1,cse
http://www.360doc.com/content/10/0729/01/111790_42163379.shtml,从徽商的兴衰看儒家文化的局限,"从 徽商 的 兴衰 看 儒家 文化 的 局限
",1,cse
http://www.360doc.com/content/13/0507/08/8484361_283531177.shtml,视频: 【徽州文化】文化先锋,"视频 : 【 徽州 文化 】 文化 先锋
",1,cse
http://www.360doc.com/content/13/0507/08/8484361_283532543.shtml,视频: 【徽州文化】家族背影,"视频 : 【 徽州 文化 】 家族 背影
",1,cse
http://www.360doc.com/content/11/1130/22/1837283_168757373.shtml,央视的20集纪录片《徽州文化》解说词全纪录,"央视 的 20 集 纪录片 《 徽州 文化 》 解说词 全 纪录
",1,cse
http://www.360doc.com/content/09/0425/08/88761_3259751.shtml,从“徽”之秒看徽派建筑——组图,"从 “ 徽 ” 之 秒 看 徽派 建筑 —— 组图
",1,cse
http://www.360doc.com/content/16/0805/16/7888036_581012230.shtml,水墨婺源，徽州之梦,"水墨 婺源 ， 徽州 之梦
",1,cse
http://www.360doc.com/content/16/1214/13/7888036_614604303.shtml,徽派建筑：中华大地上的一抹亮色,"徽派 建筑 ： 中华 大地 上 的 一 抹 亮色
",1,cse
http://www.360doc.com/content/16/0814/22/32677966_583250928.shtml,全景解读合福高铁｜沿途美景美食大盘点第3季,"全景 解读 合 福 高铁 ｜ 沿途 美景 美食 大盘 点 第3季
",1,cse
http://www.360doc.com/content/16/0117/20/11005683_528668428.shtml,国家历史文化名城——安徽绩溪,"国家 历史 文化 名城 —— 安徽 绩溪
",1,cse
http://www.360doc.com/content/16/0629/04/32187633_571541590.shtml,旅游～乘坐“中国最美高铁线” ，从合肥出发赏美景,"旅游 ～ 乘坐 “ 中国 最 美 高铁 线 ” ， 从 合肥 出发 赏 美景
",1,cse
http://www.360doc.com/relevant/186177168_more.shtml,中国古代一些著名的商帮和商人.--相关文章,"中国 古代 一些 著名 的 商 帮 和 商人.-- 相关 文章
",1,cse
http://www.360doc.com/content/11/1007/20/700052_154127426.shtml,《徽州文化》解说词*第十七集不朽丹青（上）,"《 徽州 文化 》 解说词 * 第十七 集 不朽 丹青 （ 上 ）
",1,cse
http://www.360doc.com/content/16/0828/17/36099955_586562373.shtml,丁昌盛、马悦凯访问安徽省黄梅戏艺术中心,"丁 昌盛 、 马 悦凯 访问 安徽省 黄梅戏 艺术 中心
",1,cse
http://www.360doc.com/content/11/1007/20/700052_154125483.shtml,《徽州文化》解说词*第十三集书院春秋,"《 徽州 文化 》 解说词 * 第十三 集 书院 春秋
",1,cse
http://www.360doc.com/content/11/1007/19/700052_154119984.shtml,《徽州文化》解说词*第二集神奇山水简介,"《 徽州 文化 》 解说词 * 第二 集 神奇 山水 简介
",1,cse
http://www.360doc.com/content/15/0520/08/19519242_471863937.shtml,古代大型砚台,"古代 大型 砚台
",1,cse
http://www.360doc.com/content/13/0311/08/1630322_270708018.shtml,中国民间美术非物质文化遗产35——徽州三雕,"中国 民间 美术 非物质 文化 遗产 35—— 徽州 三 雕
",1,cse
http://www.360doc.com/content/16/0325/09/3545243_545067875.shtml,徽州的居所,"徽州 的 居所
",1,cse
http://www.360doc.com/content/11/1007/20/700052_154127051.shtml,《徽州文化》解说词*第十六集智慧之光,"《 徽州 文化 》 解说词 * 第十六 集 智慧 之 光
",1,cse
http://www.360doc.com/content/11/1007/20/700052_154125061.shtml,《徽州文化》解说词*第十二集教育启蒙,"《 徽州 文化 》 解说词 * 第十二 集 教育 启蒙
",1,cse
http://www.360doc.com/content/16/0415/17/9423541_550896717.shtml,隽妙无比的徽派建筑,"隽 妙 无比的 徽派 建筑
",1,cse
http://www.360doc.com/content/14/0810/21/8484361_400888788.shtml,视频: 徽州文化园最新宣传片,"视频 : 徽州 文化园 最新 宣传 片
",1,cse
http://www.360doc.com/content/07/0708/20/19147_600557.shtml,安徽休宁——中国第一状元县,"安徽 休宁 —— 中国 第一 状元 县
",1,cse
http://www.360doc.com/content/16/0926/10/32712951_593706753.shtml,徽派乐园合肥开业,"徽派 乐园 合肥 开业
",1,cse
http://www.360doc.com/content/16/0510/08/13192177_557749240.shtml,安徽的国家级历史文化名城,"安徽 的 国家级 历史 文化 名城
",1,cse
http://www.360doc.com/content/14/0825/10/5299136_404443138.shtml,中国黄山，最经典的旅游线路(家庭亲子游),"中国 黄山 ， 最 经典 的 旅游 线路 ( 家庭 亲子游 )
",1,cse
http://www.360doc.com/content/16/0814/22/32677966_583250871.shtml,合福高铁——最美高铁线“精品”旅游线路先体验,"合福 高铁 —— 最 美 高 铁线 “ 精品 ” 旅游 线路 先 体验
",1,cse
http://www.360doc.com/content/14/0629/01/17488626_390630265.shtml,[转载] 徽州文化是越文化吗？,"[ 转载 ] 徽州 文化 是 越 文化 吗 ？
",1,cse
http://www.360doc.com/content/11/1104/10/7705659_161574407.shtml,胡锦涛与江泽民不平凡的平民领袖（03）,"胡 锦涛 与 江 泽民 不 平凡 的 平民 领袖 （ 03 ）
",1,cse
http://www.360doc.com/content/16/0813/15/19083799_582952827.shtml,徽州导游词,"徽州 导游 词
",1,cse
http://www.360doc.com/content/13/0712/11/2556131_299371191.shtml,历史名城徽州,"历史 名城 徽州
",1,cse
http://www.360doc.com/content/16/0813/13/19083799_582924641.shtml,徽州女人导游词,"徽州 女人 导游 词
",1,cse
http://www.360doc.com/content/14/1210/10/18139840_431715106.shtml,安徽的个人简历曝光，安徽人必看！,"安徽 的 个人 简历 曝光 ， 安徽 人 必 看 ！
",1,cse
http://www.360doc.com/content/16/0928/11/29931466_594337669.shtml,第二座万达城开业从南昌到合肥王健林的文旅IP升级了,"第二 座 万 达 城 开业 从 南昌 到 合肥 王 健 林 的 文 旅 I P 升级 了
",1,cse
http://www.360doc.com/content/15/0614/06/16823049_477973098.shtml,传统图徽对当代标志本土设计理念的启示,"传统 图 徽 对 当代 标志 本土 设计 理念 的 启示
",1,cse
http://www.360doc.com/content/14/1229/18/18892371_436683189.shtml,黄山市古徽州文化旅游区旅游专线开通,"黄山市 古 徽州 文化 旅游区 旅游 专线 开通
",1,cse
http://www.360doc.com/content/16/0812/10/4958641_582652276.shtml,那些历史那些乡愁：地名演变文化之脉不能断,"那些 历史 那些 乡愁 ： 地名 演变 文化 之 脉 不 能 断
",1,cse
http://www.360doc.com/content/16/1117/20/1189884_607367018.shtml,中国保存最完好的四大古城之一黄山徽州古城旅游攻略,"中国 保存 最 完好 的 四 大 古城 之一 黄山 徽州 古城 旅游 攻略
",1,cse
http://www.360doc.com/content/14/0610/16/13381122_385430589.shtml,【游记】国庆出游之《歙县鲍家花园》,"【 游记 】 国庆 出游 之 《 歙县 鲍 家 花园 》
",1,cse
http://www.360doc.com/relevant/161574407_more.shtml,胡锦涛与江泽民不平凡的平民领袖（03）--相关文章,"胡 锦涛 与 江 泽民 不 平凡 的 平民 领袖 （ 03）-- 相关 文章
",1,cse
http://www.360doc.com/content/16/1015/08/28672832_598545228.shtml,秋冬季节游黄山必去的地方,"秋 冬 季节 游 黄山 必 去 的 地方
",1,cse
http://www.360doc.com/content/16/0528/17/30569978_563048220.shtml,天上徽州,"天上 徽州
",1,cse
http://www.360doc.com/relevant/473267356_more.shtml,石与刀的碰撞：凝固徽文化符号的徽州石雕--相关文章,"石 与 刀 的 碰撞 ： 凝固 徽 文化 符号 的 徽州 石雕-- 相关 文章
",1,cse
http://www.360doc.com/content/13/1219/08/8826950_338311295.shtml,在屯溪感受徽文化,"在 屯溪 感受 徽 文化
",1,cse
http://www.360doc.com/content/11/1027/09/720729_159517852.shtml,徽州文化介绍,"徽州 文化 介绍
",1,cse
http://www.360doc.com/content/13/0904/12/498756_312135037.shtml,徽州文化博物馆,"徽州 文化 博物馆
",1,cse
http://www.360doc.com/content/14/1226/15/18892371_435934473.shtml,黄山古徽州文化旅游区3,"黄山 古 徽州 文化 旅游区 3
",1,cse
http://www.360doc.com/content/14/1230/18/18892371_436930570.shtml,徽文化乡村深度体验二日游,"徽 文化 乡村 深度 体验 二日 游
",1,cse
http://www.360doc.com/content/14/1019/07/8826950_418061998.shtml,璀璨的徽州文化,"璀璨 的 徽州 文化
",1,cse
http://www.360doc.com/relevant/581737708_more.shtml,国家最新AAAAA级景区——徽州文化园--相关文章,"国家 最新 A A A A A 级 景区 —— 徽州 文化园 -- 相关 文章
",1,cse
http://www.360doc.com/relevant/466966129_more.shtml,了解徽州文化nubia星空之约华东站开启--相关文章,"了解 徽州 文化 n u b i a 星空 之 约 华东 站 开启 -- 相关 文章
",1,cse
http://www.360doc.com/content/14/1202/07/14453044_429740873.shtml,安徽5A景区新宠儿 - 古徽州文化旅游区,"安徽 5 A 景区 新 宠儿 - 古 徽州 文化 旅游区
",1,cse
http://www.360doc.com/relevant/597802057_more.shtml,婺源为徽州文化的发祥地--相关文章,"婺源 为 徽州 文化 的 发祥地 -- 相关 文章
",1,cse
http://www.360doc.com/content/11/1007/20/700052_154128378.shtml,《徽州文化》解说词*第十九集纵横徽商（上）,"《 徽州 文化 》 解说词 * 第十九 集 纵横 徽商 （ 上 ）
",1,cse
http://www.360doc.com/content/14/1226/15/18892371_435938933.shtml,黄山古徽州文化旅游区10-----黄山宏村清和月客栈,"黄山 古 徽州 文化 旅游区 10----- 黄山 宏村 清 和 月 客栈
",1,cse
http://www.360doc.com/content/13/0507/07/8484361_283530393.shtml,视频: 【徽州文化】纵横徽商(上下),"视频 : 【 徽州 文化 】 纵横 徽商 ( 上下 )
",1,cse
http://www.360doc.com/content/13/1130/15/137012_333419275.shtml,品读徽州民居窥视徽州文化,"品读 徽州 民居 窥视 徽州 文化
",1,cse
http://www.360doc.com/content/16/1204/07/21195092_611704825.shtml,央视首播:人间仙景,"央视 首播 : 人间 仙景
",1,cse
http://www.360doc.com/content/13/0507/07/8484361_283529889.shtml,视频: 【徽州文化】教育启蒙,"视频 : 【 徽州 文化 】 教育 启蒙
",1,cse
http://www.360doc.com/content/11/1007/20/700052_154127938.shtml,《徽州文化》解说词*第十八集不朽丹青（下）,"《 徽州 文化 》 解说词 * 第十八 集 不朽 丹青 （ 下 ）
",1,cse
http://www.360doc.com/content/13/0507/07/8484361_283529810.shtml,视频: 【徽州文化】不朽丹青（上下）,"视频 : 【 徽州 文化 】 不朽 丹青 （ 上下 ）
",1,cse
http://www.360doc.com/content/13/0507/07/8484361_283528585.shtml,视频: 【徽州文化】村落风水,"视频 : 【 徽州 文化 】 村落 风水
",1,cse
http://www.360doc.com/content/16/0414/15/16377250_550571923.shtml,被人民日报点名“复名徽州” 安徽黄山官方回应|徽州|徽州地区,"被 人民日报 点名 “ 复 名 徽州 ” 安徽 黄山 官方 回应 |徽州 | 徽州 地区
",1,cse
http://www.360doc.com/content/14/1226/15/18892371_435940035.shtml,黄山古徽州文化旅游区13-----宏村南湖倚湖绿苑客栈,"黄山 古 徽州 文化 旅游区 13----- 宏村 南湖 倚 湖 绿 苑 客栈
",1,cse
http://www.360doc.com/content/15/0711/20/2369606_484289771.shtml,一生痴绝处，无梦到徽州,"一生 痴 绝 处 ， 无梦 到 徽州
",1,cse
http://www.360doc.com/content/16/0422/22/4723480_552971851.shtml,地名之争再发酵学者：把婺源还给安徽,"地名 之 争 再 发酵 学者 ： 把 婺源 还 给 安徽
",1,cse
http://www.360doc.com/content/16/0512/16/5896561_558535781.shtml,新安江文脉拓徽州,"新安江 文脉 拓 徽州
",1,cse
http://www.517huizhou.com/forum.php?gid=43,徽州文化- 徽州大论坛-,"徽州 文化 - 徽州 大论 坛 -
",1,cse
http://www.517huizhou.com/hnews/bencandy-htm-fid-55-id-971.html,徽州年俗- 徽州文化---徽州人的精神家园,"徽州 年 俗 - 徽州 文化 --- 徽州 人 的 精神 家园
",1,cse
http://www.517huizhou.com/forum.php?mod=viewthread&tid=94954,【3月26日】2017黄山徽州马拉松报名启动- 活动召集- 徽州大论坛-,"【 3月 26日 】 2017 黄山 徽州 马拉松 报名 启动 - 活动 召集 - 徽州 大论 坛 -
",1,cse
http://www.517huizhou.com/forum.php?mod=forumdisplay&fid=95,徽州微访谈- 徽州大论坛-,"徽州 微 访谈 - 徽州 大论 坛 -
",1,cse
http://www.517huizhou.com/forum.php?mod=forumdisplay&fid=94,求职招聘- 徽州大论坛-,"求职 招聘 - 徽州 大论 坛 -
",1,cse
http://www.517huizhou.com/forum.php?mod=forumdisplay&fid=54,吃在徽州- 徽州大论坛-,"吃 在 徽州 - 徽州 大论 坛 -
",1,cse
http://www.517huizhou.com/forum.php?mod=forumdisplay&fid=40&page=31,逍遥户外- 第31页- 徽州大论坛-,"逍遥 户外 - 第31 页 - 徽州 大论 坛 -
",1,cse
http://www.517huizhou.com/forum.php?mod=forumdisplay&fid=136,张金古道乡村越野跑山赛专版- 徽州大论坛-,"张 金 古道 乡村 越野跑 山 赛 专版 - 徽州 大论 坛 -
",1,cse
http://www.517huizhou.com/forum.php?mod=forumdisplay&fid=44,摄影沙龙- 徽州大论坛-,"摄影 沙龙 - 徽州 大论 坛 -
",1,cse
